Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,70.96005,-82.97,180.0,top
C2,1uF,C_0603_1608Metric,78.75,-81.5,180.0,top
C3,10uF,C_0805_2012Metric,74.5,-75.25,0.0,top
C4,10uF,C_0805_2012Metric,74.5,-77.5,0.0,top
C5,0.1uF,C_1206_3216Metric,60.662413,-43.314923,0.0,top
C6,0.1uF,C_1206_3216Metric,65.820002,-48.25,0.0,top
C7,0.1uF,C_1206_3216Metric,68.820002,-44.464923,-90.0,top
C8,0.1uF,C_1206_3216Metric,72.320002,-48.25,0.0,top
C9,0.1uF,C_1206_3216Metric,75.070002,-44.464923,-90.0,top
C10,0.1uF,C_1206_3216Metric,78.570002,-48.25,0.0,top
C11,0.1uF,C_1206_3216Metric,81.570002,-44.464923,-90.0,top
C12,0.1uF,C_1206_3216Metric,84.820002,-48.25,0.0,top
C13,0.1uF,C_1206_3216Metric,87.820002,-44.464923,-90.0,top
C14,0.1uF,C_1206_3216Metric,91.320002,-48.25,0.0,top
C15,0.1uF,C_1206_3216Metric,94.320002,-44.464923,-90.0,top
C16,0.1uF,C_1206_3216Metric,97.320002,-48.25,0.0,top
C17,0.1uF,C_1206_3216Metric,100.570002,-44.464923,-90.0,top
C18,0.1uF,C_1206_3216Metric,103.820002,-48.25,0.0,top
C19,0.1uF,C_1206_3216Metric,106.570002,-44.464923,90.0,top
C20,0.1uF,C_1206_3216Metric,110.070002,-48.25,0.0,top
C21,47pF,C_0603_1608Metric,84.6,-60.15,-90.0,top
C22,0.1uF,C_1206_3216Metric,60.662413,-48.25,180.0,top
C23,10pF,C_1206_3216Metric,112.64215,-57.753701,-90.0,top
C24,250pF,C_0603_1608Metric,108.25,-58.573701,90.0,top
C25,47pF,C_0603_1608Metric,96.975,-81.135001,180.0,top
C26,1uF,C_0603_1608Metric,100.975,-72.325121,180.0,top
C27,1uF,C_0603_1608Metric,101.0,-68.825121,0.0,top
C28,1uF,C_0603_1608Metric,108.977584,-78.885001,0.0,top
C29,1uF,C_0603_1608Metric,93.25,-101.5,0.0,top
D1,BAV21W-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,60.820002,-45.75,180.0,top
D2,BAV21W-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,109.75,-80.75,180.0,top
D3,BAV21W-7-F,SOD-323_L1.8-W1.3-LS2.5-RD,109.75,-83.0,0.0,top
D4,BAS16HT1G,SOD-323_L1.8-W1.3-LS2.5-RD,85.25,-99.7,-90.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,102.75,-107.5,90.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,57.5,-85.485,0.0,top
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,120.0,-40.25,90.0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,57.5,-74.735,0.0,top
L1,LPS6235-473MRB,LPS6235473MRB,80.5,-76.0,180.0,top
LED1,TLMS1000-GS08,LED_0603_1608Metric,90.0,-96.25,-90.0,top
R1,287K,R_0603_1608Metric,70.96005,-80.97,180.0,top
R2,221,R_0805_2012Metric,74.5,-85.25,0.0,top
R3,30Meg,R_0805_2012Metric,71.700001,-53.857503,0.0,top
R4,30Meg,R_0805_2012Metric,71.700001,-56.807503,0.0,top
R5,30Meg,R_0805_2012Metric,71.700001,-59.757503,0.0,top
R6,7.5Meg,R_0805_2012Metric,71.700001,-62.707503,0.0,top
R7,3Meg,R_0805_2012Metric,71.700001,-65.657503,0.0,top
R8,3362P-1-205LF,RES-ADJ-TH_3362P,77.65,-60.1,-90.0,top
R9,1Meg,R_0805_2012Metric,82.650001,-58.35,-90.0,top
R10,1Meg,R_0805_2012Metric,82.650001,-62.1,-90.0,top
R11,2.7Meg,R_0805_2012Metric,76.450001,-65.657503,180.0,top
R12,7.5 Meg,R_0805_2012Metric,112.44215,-53.623701,-90.0,top
R13,200K,R_0805_2012Metric,110.19215,-58.373701,90.0,top
R14,3Meg,R_0805_2012Metric,104.0,-85.1625,-90.0,top
R15,2Meg,R_0805_2012Metric,102.0,-85.1625,90.0,top
R16,127K,R_0805_2012Metric,95.734891,-73.630112,0.0,top
R17,453K,R_0805_2012Metric,96.8,-79.35,0.0,top
R18,1K,R_0805_2012Metric,101.0,-70.575121,0.0,top
R19,127K,R_0805_2012Metric,93.45,-103.39,0.0,top
R20,453K,R_0805_2012Metric,93.45,-105.5,0.0,top
R21,330,R_0805_2012Metric,90.0,-99.808255,90.0,top
R22,127K,R_0805_2012Metric,84.45,-104.2,0.0,top
R23,100,R_0805_2012Metric,87.75,-99.808255,90.0,top
TP1,TestPoint,TestPoint_Pad_1.0x1.0mm,113.65,-42.55,0.0,top
U1,LTC6906IS6#TRPBF,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,74.5,-82.0,0.0,top
U2,SN74LVC1G08DCKR_C5279048,SC-70-5_L2.0-W1.3-P0.65-LS2.1-BR,78.75,-83.5,180.0,top
U3,DMN10H220L-7,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,82.75,-83.25,-90.0,top
U4,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,65.320002,-44.714923,-90.0,top
U5,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,71.820002,-44.714923,-90.0,top
U6,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,78.320002,-44.714923,-90.0,top
U7,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,84.820002,-44.714923,-90.0,top
U8,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,91.070002,-44.714923,-90.0,top
U9,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,97.570002,-44.714923,-90.0,top
U10,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,103.570002,-44.714923,-90.0,top
U11,BAV23S,BAV23S_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,109.820002,-44.714923,-90.0,top
U12,LTC1441CS8#PBF,SOIC-8_L4.9-W3.8-P1.27-LS6.0-BL,103.25,-80.0,-90.0,top
U13,LTC1540IMS8#PBF,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,95.5,-70.5,-90.0,top
U14,SI-29BG,SI-29BG,119.870002,-75.417497,-90.0,top
U15,LTC6994CS6-1-TRMPBF,TSOT-23_S6_LIT,89.25,-103.5,0.0,top
U16,AI-1223-TWT-5V-5-R,AI-1223-TWT-5V-5-R_PUI,76.5,-101.0,180.0,top
